"address","zipCode","city","state","price","bed","bath","sqft","pricePerSf","lotArea","lotAreaType","dateSold","dateSoldNumeric","zillowUrl","latitude","longitude","homeType","zestimate","rentZestimate","imageUrl"
"29734 Mulholland Hwy, Agoura Hills, CA 91301","91301","Agoura Hills","CA","3692460","5","6","5746","642.61","3.156","acres","9/3/2024","1725346800000","https://zillow.com/homedetails/29734-Mulholland-Hwy-Agoura-Hills-CA-91301/79797465_zpid/","34.111465","-118.77367","SINGLE_FAMILY","","15614","https://photos.zillowstatic.com/fp/45cdb071f487e1eff592e4c4a3430782-p_e.jpg"
"28915 Thousand Oaks Blvd UNIT 289, Agoura Hills, CA 91301","91301","Agoura Hills","CA","375000","2","1","811","462.39","12.0615","acres","8/30/2024","1725001200000","https://zillow.com/homedetails/28915-Thousand-Oaks-Blvd-UNIT-289-Agoura-Hills-CA-91301/19882544_zpid/","34.154816","-118.75546","CONDO","382300","2575","https://photos.zillowstatic.com/fp/82690bf38c370b27be7d79faf792563f-p_e.jpg"
"30340 Rainbow View Ct, Agoura Hills, CA 91301","91301","Agoura Hills","CA","1675000","4","4","3247","515.86","6164","sqft","8/30/2024","1725001200000","https://zillow.com/homedetails/30340-Rainbow-View-Ct-Agoura-Hills-CA-91301/19889707_zpid/","34.15597","-118.7822","SINGLE_FAMILY","1659200","6401","https://photos.zillowstatic.com/fp/ed7d31bbd8b0d71857794e7148cbf67a-p_e.jpg"
"28869 Conejo View Dr, Agoura Hills, CA 91301","91301","Agoura Hills","CA","570000","2","2","981","581.04","2.4236","acres","8/29/2024","1724914800000","https://zillow.com/homedetails/28869-Conejo-View-Dr-Agoura-Hills-CA-91301/19882127_zpid/","34.14974","-118.75414","TOWNHOUSE","570000","3487","https://photos.zillowstatic.com/fp/70ad83e9356c061a5c1975a2f8ea6f76-p_e.jpg"
"3823 Cottonwood Grove Trl, Calabasas, CA 91301","91301","Calabasas","CA","1315000","3","2","1355","970.48","8958","sqft","8/29/2024","1724914800000","https://zillow.com/homedetails/3823-Cottonwood-Grove-Trl-Calabasas-CA-91301/19894215_zpid/","34.13039","-118.70994","SINGLE_FAMILY","1315000","4986","https://photos.zillowstatic.com/fp/4fac927a6e5bd7ac7fca9c23989e0267-p_e.jpg"
"29727 Canwood St, Agoura Hills, CA 91301","91301","Agoura Hills","CA","740000","3","3","1749","423.1","1121","sqft","8/27/2024","1724742000000","https://zillow.com/homedetails/29727-Canwood-St-Agoura-Hills-CA-91301/19887301_zpid/","34.148308","-118.773674","TOWNHOUSE","739700","4308","https://photos.zillowstatic.com/fp/8de34baabc3d8e4045501a02f718e4e4-p_e.jpg"
"5695 Walnut Ridge Dr, Agoura Hills, CA 91301","91301","Agoura Hills","CA","1530000","4","3","3162","483.87","7011","sqft","8/23/2024","1724396400000","https://zillow.com/homedetails/5695-Walnut-Ridge-Dr-Agoura-Hills-CA-91301/19887215_zpid/","34.15389","-118.771545","SINGLE_FAMILY","1530100","7484","https://photos.zillowstatic.com/fp/109546bd2224be9e03ddb1323f87a9fd-p_e.jpg"
"2972 Triunfo Canyon Rd, Agoura Hills, CA 91301","91301","Agoura Hills","CA","6205000","8","6","17000","365","11.1855","acres","8/22/2024","1724310000000","https://zillow.com/homedetails/2972-Triunfo-Canyon-Rd-Agoura-Hills-CA-91301/250329667_zpid/","34.124397","-118.791115","SINGLE_FAMILY","","4316","https://photos.zillowstatic.com/fp/a5ce632f0842c7264046dad1e3d89a7b-p_e.jpg"
"27444 Revere Way, Agoura Hills, CA 91301","91301","Agoura Hills","CA","1495000","5","3","2296","651.13","9603","sqft","8/21/2024","1724223600000","https://zillow.com/homedetails/27444-Revere-Way-Agoura-Hills-CA-91301/19894072_zpid/","34.130592","-118.72558","SINGLE_FAMILY","1495100","6419","https://photos.zillowstatic.com/fp/29a46f52a4396fc7a2b5cfa62e5a7889-p_e.jpg"
"6130 Fairhaven Ct, Agoura Hills, CA 91301","91301","Agoura Hills","CA","3200000","6","6","6508","491.7","0.3859963269054178","acres","8/20/2024","1724137200000","https://zillow.com/homedetails/6130-Fairhaven-Ct-Agoura-Hills-CA-91301/19890254_zpid/","34.163563","-118.76439","SINGLE_FAMILY","3099300","19998","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.1635627746582,-118.76438903808594&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=enMklorErLUikbLhUkYCjfCt37E="
"28245 Laura La Plante Dr, Agoura Hills, CA 91301","91301","Agoura Hills","CA","1265000","3","3","2236","565.74","7642","sqft","8/20/2024","1724137200000","https://zillow.com/homedetails/28245-Laura-La-Plante-Dr-Agoura-Hills-CA-91301/19893618_zpid/","34.139507","-118.74284","SINGLE_FAMILY","1265100","5399","https://photos.zillowstatic.com/fp/10a76a4261c5884d87055db49cc9bbe1-p_e.jpg"
